ID,Preconditions,Secure Coding Guidelines,ID,content
G1,The code unit reads serialized data,The code unit should validate the serialized data before deserializing them,CWE-502_1,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
G2,The code unit stores serialized data,The code unit should use cryptography signatures after serializing data,CWE-502_2,"deserialized data or code can often be modified without using the provided accessor functions if it does not use cryptography to protect itself. Furthermore, any cryptography would still be client-side security -- which is a dangerous security assumption."
G3,The code unit reads serialized data,The code unit should validate the integrity of serialized data before deserializing them,CWE-502_2,"deserialized data or code can often be modified without using the provided accessor functions if it does not use cryptography to protect itself. Furthermore, any cryptography would still be client-side security -- which is a dangerous security assumption."
G4,The code unit reads serialized data,The code unit should have restrictions on gadget chains before deserializing data,CWE-502_3,"When developers place no restrictions on ""gadget chains,"" or series of instances and method invocations that can self-execute during the deserialization process (i.e., before the object is returned to the caller), it is sometimes possible for attackers to leverage them to perform unauthorized actions, like generating a shell."
G5,The code unit reads serialized data,The code unit should populate a new instance when deserializing an object,CWE-502_5,"When deserializing data, populate a new object rather than just deserializing. The result is that the data flows through safe input validation and that the functions are safe."
G6,The code unit is the subclass of a serializable class that prevents subclasses to be deserialized,The code unit should not be deserialized,CWE-502_6,Explicitly define a final object() to prevent deserialization.
G7,The code unit is deserializable and has fields that should not be deserialized,The code unit should not deserialize protected fields,CWE-502_7,"Make fields transient to protect them from deserialization. An attempt to serialize and then deserialize a class containing transient fields will result in NULLs where the transient data should be. This is an excellent way to prevent time, environment-based, or sensitive variables from being carried over and used improperly."
G8,The code unit is not meant to be deserialized,The code unit should avoid having unnecessary types or gadgets.,CWE-502_8.a,Avoid having unnecessary types or gadgets available that can be leveraged for malicious ends. This limits the potential for unintended or unauthorized types and gadgets to be leveraged by the attacker.
G9,The code unit reads serialized data,The code unit should deserialize only acceptable classes,CWE-502_8.b,"Add only acceptable classes to an allowlist. Note: new gadgets are constantly being discovered, so this alone is not a sufficient mitigation."
G10,The code unit reads serialized data,The code unit should verify whether the serialized data have been replaced,CWE-502_10,An attacker may be able to replace the intended file with a file that contains arbitrary malicious code which will be executed when the button is pressed.
G11,The code unit transmit authentication credentials,The code unit should prevent unauthorized access to transmitted credentials,CWE-522_1,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
G12,The code unit stores authentication credentials,The code unit should prevent unauthorized access to stored credentials,CWE-522_1,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
G13,The code unit involves authentication credentials,The code unit should write credentials only after encryption ,CWE-522_3,Make appropriate use of cryptography to protect the credentials.
G14,The code unit involves authentication credentials,"The code unit should protect credentials through industry standards (e.g. LDAP, keystore, etc.)",CWE-522_4,"Use industry standards to protect the credentials (e.g. LDAP, keystore, etc.)."
G15,The code unit involves protected objects,The code unit should ensure the requesting user is authorized to access a protected object,CWE-522_5,"While the code confirms that the requesting user typed the same new password twice, it does not confirm that the user requesting the password change is the same user whose password will be changed."
G16,The code unit involves a configuration file with sensitive data,The code unit should protect the accesses to configuration files ,CWE-522_7,"anyone who has access to config.properties can read the value of password. If a devious employee has access to this information, they can use it to break into the system."
G17,The code unit involves a registry key with sensitive data,The code unit should protect the accesses to registry keys ,CWE-522_8,"anyone who has access to the registry key used to store the password can read the value of password. If a devious employee has access to this information, they can use it to break into the system"
G18,The code unit stores passwords,The code unit should not store passwords with compression,CWE-522_9,"Because a compression algorithm is used instead of a one way hashing algorithm, an attacker can recover compressed passwords stored in the database."
G19,The configuration file contains sensitive data,Check if the configuration file does not store sensitive data in cleartext,CWE-522_10.a,Username and password information should not be included in a configuration file or a properties file in cleartext as this will allow anyone who can read the file access to the resource.
G20,The code unit dereferences a pointer,The code unit should ensure a pointer is not NULL before dereferencing it,CWE-476_1,The product dereferences a pointer that it expects to be valid but is NULL.
G21,The code unit receives data from an external source,The code unit should validate external data before assigning to variables or storing them,CWE-476_5,"Identify all variables and data stores that receive information from external sources, and apply input validation to make sure that they are only initialized to expected values."
G22,N/A,The code unit should explicitly initialize all variables and data stores before first usage,CWE-476_6,"Explicitly initialize all variables and other data stores, either during declaration or just before the first usage."
G23,The code unit dereferences a pointer with multiple threads,The code unit should use proper locking APIs when using pointers,CWE-476_7,"When working with a multithreaded or otherwise asynchronous environment, ensure that proper locking APIs are used to lock before the if statement; and unlock when it has finished."
G24,The code unit accepts the upload or transfer of a file,The code unit should assign unique names to uploaded files,CWE-434_3,"Generate a new, unique filename for an uploaded file instead of using the user-supplied filename, so that no external input is used at all."
G25,The code unit accepts the upload or transfer of a file and the set of accetable files is known,The code unit should reject uploaded files not belonging to the known set of files,CWE-434_4,"When the set of acceptable objects, such as filenames or URLs, is limited or known, create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs, and reject all other inputs."
G26,The code unit accepts URLs and the set of accetable URLs is known,The code unit should reject given URLs not belonging to the known set of URLs,CWE-434_4,"When the set of acceptable objects, such as filenames or URLs, is limited or known, create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs, and reject all other inputs."
G27,The code unit accepts the upload or transfer of a file and store it in the local file system,The code unit should store the uploaded files outside of the web document root,CWE-434_5,"Consider storing the uploaded files outside of the web document root entirely. Then, use other mechanisms to deliver the files dynamically ."
G28,The code unit accepts the upload or transfer of a file,The code unit should accept only uploaded files whose content conforms to specifications,CWE-434_6,"Assume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does."
G29,The code unit accepts the upload or transfer of a file,The code unit should use denylists to validate uploaded files,CWE-434_8,"Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright."
G30,The code unit accepts the upload or transfer of a file,The code unit should reject uploaded files with unintended extensions,CWE-434_9,"For example, limiting filenames to alphanumeric characters can help to restrict the introduction of unintended file extensions."
G31,The code unit accepts the upload or transfer of a file,The code unit should ensure the uploaded file has only one extension,CWE-434_11,"Ensure that only one extension is used in the filename. Some web servers, including some versions of Apache, may process files based on inner extensions so that ""filename.php.gif"" is fed to the PHP interpreter."
G32,The code unit accepts the upload or transfer of a file and the web server supports case-insensitive filenames,The code unit should perform case-insensitive evaluations of the extension of uploaded files,CWE-434_12,"When running on a web server that supports case-insensitive filenames, perform case-insensitive evaluations of the extensions that are provided."
G33,The code unit accepts the upload or transfer of a file,The code unit should validate both the content and metadata of uploaded files,CWE-434_13,"Do not rely exclusively on sanity checks of file contents to ensure that the file is of the expected type and size. It may be possible for an attacker to hide code in some file segments that will still be executed by the server. For example, GIF images may contain a free-form comments field."
G34,The code unit accepts the upload or transfer of a file and execute it,The code unit should execute the uploaded file with the lowest necessary privileges,CWE-434_15,Run your code using the lowest privileges that are required to accomplish the necessary tasks
G35,The code unit accepts the upload or transfer of a file and execute it,The code unit should create isolated account with limited privileges when executing uploaded files,CWE-434_16,"If possible, create isolated accounts with limited privileges that are only used for a single task. That way, a successful attack will not immediately give the attacker access to the rest of the software or its environment. For example, database applications rarely need to run as the database administrator, especially in day-to-day operations."
G36,The code unit accepts the upload or transfer of a file and execute it,"The code unit should execute uploaded files in a sandbox enviroment (e.g., chroot jail)",CWE-434_17,"Run the code in a ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system. This may effectively restrict which files can be accessed in a particular directory or which commands can be executed by the software."
G37,The code unit accepts the upload or transfer of a file,The code unit should not allow executing previously uploaded executable files with arbitrary input,CWE-434_18,"The problem with the above code is that there is no check regarding type of file being uploaded. Assuming that pictures/ is available in the web document root, an attacker could upload a file with the name: (attack code) malicious.php Since this filename ends in "".php"" it can be executed by the web server. In the contents of this uploaded file, the attacker could use: (attack code) Example Language: PHP <?php system($_GET['cmd']); ?> Once this file has been installed, the attacker can enter arbitrary commands to execute using a URL such as: (attack code) http://server.example.com/upload_dir/malicious.php?cmd=ls%20-l which runs the ""ls -l"" command - or any other type of command that the attacker wants to specify."
G38,The code unit accepts the upload or transfer of a file and execute it,The code unit should verify the type of files uploaded before executing them,CWE-434_19,This code does not perform a check on the type of the file being uploaded ( CWE-434). This could allow an attack er to upload any executable file or other file with malicious code.
G39,The code unit accepts the upload or transfer of a file and store it in the local file system,The code unit should disallow path elements in uploaded file names,CWE-434_20,"Additionally, the creation of the BufferedWriter object is subject to relative path trav ersal (CWE-23 ). Since the code does not check the filename that is provided in the header, an attacker can use ""../"" sequences to write to files outside of the intended directory. Depending on the executing environment, the attacker may be able to specify arbitrary files to write to, leading to a wide variety of consequences, from code execution, XSS ( CWE-79 ), or system crash."
G40,The code unit uses dynamically allocated memory,The code unit should not reuse a memory area that has been freed,CWE-416_1,The product reuses or references memory after it has been freed.
G41,The code unit uses dynamically allocated memory,The code unit should not call a function via a pointer whose memory has been freed,CWE-416_2,"If malicious data is entered before chunk consolidation can take place, it may be possible to take advantage of a write-what-Confidentiality where primitive to execute arbitrary code. If the newly allocated data happens to hold a class, in C++ for example, various Availability function pointers may be scattered within the heap data. If one of these function pointers is overwritten with an address to valid shellcode, execution of arbitrary code can be achieved."
